,divsRank,finalRank,seedTime,divsTime,distance,improvement,improveZscore
0,1,1,150.25,138.24,200,-0.06004999999999996,-0.5820856639621601
1,2,3,143.62,139.32999999999998,200,-0.0214500000000001,0.04110185377104745
2,3,2,131.8,139.84,200,0.04019999999999996,1.036425959166188
3,4,4,166.84,151.26,200,-0.07790000000000007,-0.8702695290279079
4,5,5,169.94,165.49,200,-0.022249999999999943,0.028186050294714035
5,6,6,169.38,171.98,200,0.012999999999999972,0.5972886409707657
6,8,8,190.09,192.93,200,0.014200000000000016,0.6166623461852705
7,9,7,187.36,193.52,200,0.030799999999999984,0.884665268319241
8,1,1,117.1,118.17,200,0.005350000000000037,0.4737812702283042
9,2,4,137.07,137.52,200,0.0022500000000000853,0.4237325317575032
10,3,2,119.32,139.7,200,0.10189999999999998,2.032557302278599
11,4,3,134.6,142.79,200,0.040949999999999986,1.0485345249252536
12,5,5,139.59,143.07,200,0.01739999999999995,0.6683255600906132
13,6,6,153.53,155.56,200,0.010150000000000006,0.5512760910863195
14,7,7,172.09,172.6,200,0.0025499999999999546,0.428575958061127
15,8,8,178.88,187.79,200,0.044549999999999985,1.106655640568765
16,1,1,30.45,32.62,50,0.043399999999999966,1.088089173071532
17,2,2,33.81,33.66,50,-0.0030000000000001137,0.33897257144404525
18,3,3,35.5,35.75,50,0.005,0.46813060620740665
19,4,4,37.76,37.02,50,-0.014799999999999898,0.14846447016809336
20,5,7,40.62,40.57,50,-0.0009999999999999432,0.37126208013488793
21,6,5,44.33,41.35,50,-0.05959999999999994,-0.5748205245067208
22,7,9,36.25,41.63,50,0.10760000000000006,2.124582402047494
23,8,6,47.06,42.91,50,-0.08300000000000012,-0.9526077761895505
24,9,12,44.47,43.76,50,-0.014200000000000016,0.1581513227753434
25,10,10,42.42,43.82,50,0.027999999999999973,0.8394599561520649
26,11,11,42.94,44.61,50,0.033400000000000034,0.9266416296173337
27,12,16,49.2,44.9,50,-0.08600000000000009,-1.00104203922581
28,13,8,47.97,45.38,50,-0.05179999999999993,-0.4488914406124451
29,14,15,49.78,48.51,50,-0.02540000000000006,-0.0226699258933607
30,15,18,49.78,48.56,50,-0.024399999999999977,-0.006525171547939395
31,16,17,47.42,48.81,50,0.027800000000000012,0.8362310052829816
32,17,14,49.11,49.02,50,-0.001799999999999926,0.3583462766585522
33,18,13,50.22,49.3,50,-0.018400000000000034,0.09034335452457935
