,divsRank,finalRank,seedTime,divsTime,qualified,distance,gender,stroke,points,seedSpeed,divsSpeed,deltaSpeed,genderIndicator,isFly,isBack,isBreast,isFree,isIM,isQl
0,1,1.0,150.25,138.24,True,200,Girls,Freestyle,20.0,1.3311148086522462,1.446759259259259,0.1156444506070129,1,0,0,0,1,0,1
1,2,3.0,143.62,139.32999999999998,True,200,Girls,Freestyle,16.0,1.3925637097897228,1.4354410392593127,0.04287732946958989,1,0,0,0,1,0,1
2,3,2.0,131.8,139.84,True,200,Girls,Freestyle,18.0,1.5174506828528072,1.4302059496567505,-0.08724473319605663,1,0,0,0,1,0,1
3,4,4.0,166.84,151.26,True,200,Girls,Freestyle,14.0,1.1987532965715655,1.322226629644321,0.12347333307275554,1,0,0,0,1,0,1
4,5,5.0,169.94,165.49,True,200,Girls,Freestyle,12.0,1.1768859597505001,1.2085322375974379,0.03164627784693774,1,0,0,0,1,0,1
5,6,6.0,169.38,171.98,True,200,Girls,Freestyle,11.0,1.180776951233912,1.162925921618793,-0.017851029615118863,1,0,0,0,1,0,1
6,7,,172.75,181.93,True,200,Girls,Freestyle,0.0,1.1577424023154848,1.099323915791788,-0.058418486523696744,1,0,0,0,1,0,1
7,8,8.0,190.09,192.93,True,200,Girls,Freestyle,9.0,1.052133200063128,1.0366454154356501,-0.015487784627477907,1,0,0,0,1,0,1
8,9,7.0,187.36,193.52,False,200,Girls,Freestyle,10.0,1.067463706233988,1.0334849111202975,-0.03397879511369051,1,0,0,0,1,0,0
9,10,,239.0,195.39,False,200,Girls,Freestyle,0.0,0.8368200836820083,1.0235938379650955,0.18677375428308718,1,0,0,0,1,0,0
10,11,,229.22,204.95,False,200,Girls,Freestyle,0.0,0.8725242125468982,0.9758477677482313,0.10332355520133318,1,0,0,0,1,0,0
11,12,,239.89,231.67000000000002,False,200,Girls,Freestyle,0.0,0.8337154529159199,0.8632969309794103,0.02958147806349043,1,0,0,0,1,0,0
12,13,,233.6,249.89,False,200,Girls,Freestyle,0.0,0.8561643835616438,0.8003521549481772,-0.055812228613466575,1,0,0,0,1,0,0
13,14,,257.72,252.44,False,200,Girls,Freestyle,0.0,0.7760360080707744,0.7922674694977024,0.016231461426927996,1,0,0,0,1,0,0
14,15,,233.32,287.08,False,200,Girls,Freestyle,0.0,0.8571918395336877,0.6966699177929497,-0.16052192174073798,1,0,0,0,1,0,0
15,1,1.0,117.1,118.17,True,200,Boys,Freestyle,20.0,1.707941929974381,1.6924769400016924,-0.015464989972688636,0,0,0,0,1,0,1
16,2,4.0,137.07,137.52,True,200,Boys,Freestyle,14.0,1.4591084847158386,1.4543339150668992,-0.0047745696489394085,0,0,0,0,1,0,1
17,3,2.0,119.32,139.7,True,200,Boys,Freestyle,18.0,1.6761649346295677,1.4316392269148175,-0.24452570771475024,0,0,0,0,1,0,1
18,4,3.0,134.6,142.79,True,200,Boys,Freestyle,16.0,1.485884101040119,1.4006583094054206,-0.08522579163469834,0,0,0,0,1,0,1
19,5,5.0,139.59,143.07,True,200,Boys,Freestyle,12.0,1.4327673902141986,1.3979171035157616,-0.03485028669843704,0,0,0,0,1,0,1
20,6,6.0,153.53,155.56,True,200,Boys,Freestyle,11.0,1.302677001237543,1.2856775520699408,-0.01699944916760221,0,0,0,0,1,0,1
21,7,7.0,172.09,172.6,True,200,Boys,Freestyle,10.0,1.1621825788831426,1.1587485515643106,-0.0034340273188320225,0,0,0,0,1,0,1
22,8,8.0,178.88,187.79,True,200,Boys,Freestyle,9.0,1.118067978533095,1.065019436604718,-0.053048541928376824,0,0,0,0,1,0,1
23,9,,189.47,189.96,False,200,Boys,Freestyle,0.0,1.0555760806460126,1.052853232259423,-0.002722848386589538,0,0,0,0,1,0,0
24,10,,193.47,192.67,False,200,Boys,Freestyle,0.0,1.0337520028945055,1.0380443244926558,0.004292321598150295,0,0,0,0,1,0,0
25,11,,221.78,207.95,False,200,Boys,Freestyle,0.0,0.9017945711966814,0.961769656167348,0.059975084970666614,0,0,0,0,1,0,0
26,12,,220.53,208.92000000000002,False,200,Boys,Freestyle,0.0,0.9069060898743935,0.9573042312847022,0.05039814141030874,0,0,0,0,1,0,0
27,13,,213.77,221.64,False,200,Boys,Freestyle,0.0,0.9355849745053094,0.9023641941887747,-0.03322078031653475,0,0,0,0,1,0,0
28,14,,240.71,222.94,False,200,Boys,Freestyle,0.0,0.8308753271571601,0.8971023593792051,0.06622703222204507,0,0,0,0,1,0,0
29,15,,245.37,236.24,False,200,Boys,Freestyle,0.0,0.8150955699555773,0.8465966813410091,0.03150111138543177,0,0,0,0,1,0,0
30,16,,270.06,239.28,False,200,Boys,Freestyle,0.0,0.7405761682589054,0.8358408559010364,0.09526468764213103,0,0,0,0,1,0,0
