,id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,eventMeanAge,eventMedianAge,gender,distance,stroke
0,1,1,1.0,1,15,26,1,150.25,138.24,135.59,True,2017,15.816326530612244,16.0,Girls,200,Freestyle
1,2,2,3.0,2,15,33,1,143.62,139.32999999999998,138.31,True,2017,15.816326530612244,16.0,Girls,200,Freestyle
2,3,3,2.0,3,17,3,1,131.8,139.84,136.89,True,2017,15.816326530612244,16.0,Girls,200,Freestyle
3,4,4,4.0,4,17,3,1,166.84,151.26,149.14,True,2017,15.816326530612244,16.0,Girls,200,Freestyle
4,5,5,5.0,5,17,45,1,169.94,165.49,160.0,True,2017,15.816326530612244,16.0,Girls,200,Freestyle
5,6,6,6.0,6,16,5,1,169.38,171.98,168.2,True,2017,15.816326530612244,16.0,Girls,200,Freestyle
6,7,7,,7,16,49,1,172.75,181.93,,True,2017,15.816326530612244,16.0,Girls,200,Freestyle
7,8,8,8.0,8,17,30,1,190.09,192.93,196.66,True,2017,15.816326530612244,16.0,Girls,200,Freestyle
8,9,9,7.0,9,17,39,1,187.36,193.52,189.68,False,2017,15.816326530612244,16.0,Girls,200,Freestyle
9,10,10,,10,16,33,1,239.0,195.39,,False,2017,15.816326530612244,16.0,Girls,200,Freestyle
10,11,11,,11,15,39,1,229.22,204.95,,False,2017,15.816326530612244,16.0,Girls,200,Freestyle
11,12,12,,12,16,39,1,239.89,231.67000000000002,,False,2017,15.816326530612244,16.0,Girls,200,Freestyle
12,13,13,,13,16,34,1,233.6,249.89,,False,2017,15.816326530612244,16.0,Girls,200,Freestyle
13,14,14,,14,17,39,1,257.72,252.44,,False,2017,15.816326530612244,16.0,Girls,200,Freestyle
14,15,15,,15,16,39,1,233.32,287.08,,False,2017,15.816326530612244,16.0,Girls,200,Freestyle
15,18,1,1.0,18,16,3,2,117.1,118.17,118.21000000000001,True,2017,15.692307692307692,15.0,Boys,200,Freestyle
16,19,2,4.0,19,15,3,2,137.07,137.52,134.57,True,2017,15.692307692307692,15.0,Boys,200,Freestyle
17,20,3,2.0,20,15,52,2,119.32,139.7,122.81,True,2017,15.692307692307692,15.0,Boys,200,Freestyle
18,21,4,3.0,21,15,46,2,134.6,142.79,128.54,True,2017,15.692307692307692,15.0,Boys,200,Freestyle
19,22,5,5.0,22,17,26,2,139.59,143.07,134.59,True,2017,15.692307692307692,15.0,Boys,200,Freestyle
20,23,6,6.0,23,17,36,2,153.53,155.56,153.72,True,2017,15.692307692307692,15.0,Boys,200,Freestyle
21,24,7,7.0,24,17,52,2,172.09,172.6,163.74,True,2017,15.692307692307692,15.0,Boys,200,Freestyle
22,25,8,8.0,25,15,33,2,178.88,187.79,175.36,True,2017,15.692307692307692,15.0,Boys,200,Freestyle
23,26,9,,26,15,33,2,189.47,189.96,,False,2017,15.692307692307692,15.0,Boys,200,Freestyle
24,27,10,,27,15,39,2,193.47,192.67,,False,2017,15.692307692307692,15.0,Boys,200,Freestyle
25,28,11,,28,16,39,2,221.78,207.95,,False,2017,15.692307692307692,15.0,Boys,200,Freestyle
26,29,12,,29,15,39,2,220.53,208.92000000000002,,False,2017,15.692307692307692,15.0,Boys,200,Freestyle
27,30,13,,30,17,34,2,213.77,221.64,,False,2017,15.692307692307692,15.0,Boys,200,Freestyle
28,31,14,,31,16,39,2,240.71,222.94,,False,2017,15.692307692307692,15.0,Boys,200,Freestyle
29,32,15,,32,16,39,2,245.37,236.24,,False,2017,15.692307692307692,15.0,Boys,200,Freestyle
30,33,16,,33,15,3,2,270.06,239.28,,False,2017,15.692307692307692,15.0,Boys,200,Freestyle
31,34,17,,34,16,39,2,263.61,249.07,,False,2017,15.692307692307692,15.0,Boys,200,Freestyle
32,38,1,1.0,38,15,3,3,30.45,32.62,32.08,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
33,39,2,2.0,39,15,48,3,33.81,33.66,33.26,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
34,40,3,3.0,40,15,35,3,35.5,35.75,34.68,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
35,41,4,4.0,41,15,52,3,37.76,37.02,37.28,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
36,42,5,7.0,42,15,16,3,40.62,40.57,40.54,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
37,43,6,5.0,43,15,17,3,44.33,41.35,40.18,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
38,44,7,9.0,44,15,33,3,36.25,41.63,42.45,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
39,45,8,6.0,45,15,3,3,47.06,42.91,40.3,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
40,46,9,12.0,46,15,26,3,44.47,43.76,44.74,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
41,47,10,10.0,47,15,18,3,42.42,43.82,42.7,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
42,48,11,11.0,48,15,35,3,42.94,44.61,43.34,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
43,49,12,16.0,49,15,48,3,49.2,44.9,47.03,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
44,50,13,8.0,50,15,3,3,47.97,45.38,42.25,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
45,51,14,15.0,51,15,26,3,49.78,48.51,46.87,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
46,52,15,18.0,52,15,5,3,49.78,48.56,48.94,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
47,53,16,17.0,53,15,16,3,47.42,48.81,48.18,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
48,54,17,14.0,54,15,49,3,49.11,49.02,46.24,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
49,55,18,13.0,55,15,3,3,50.22,49.3,45.73,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
50,56,19,24.0,56,15,46,3,50.03,49.38,51.77,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
51,57,20,19.0,57,15,3,3,53.06,49.92,50.11,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
52,58,21,23.0,58,15,3,3,52.04,50.17,51.21,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
53,59,22,22.0,59,15,42,3,51.96,50.51,51.18,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
54,60,23,20.0,60,15,34,3,52.69,51.03,50.41,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
55,61,24,21.0,61,15,49,3,52.31,52.14,51.04,True,2017,14.88770053475936,15.0,Girls,50,Backstroke
56,62,25,,62,15,49,3,48.97,52.55,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
57,63,26,,63,15,34,3,53.15,53.8,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
58,64,27,,64,15,36,3,54.82,54.46,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
59,65,28,,65,15,48,3,68.13,55.23,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
60,66,29,,66,15,43,3,60.07,55.65,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
61,67,30,,67,15,33,3,75.34,56.19,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
62,68,31,,68,15,17,3,43.8,57.33,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
63,69,32,,69,15,5,3,69.28,57.4,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
64,70,33,,70,15,49,3,49.03,58.79,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
65,71,34,,71,15,3,3,56.33,58.95,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
66,72,35,,72,15,33,3,56.81,59.1,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
67,73,36,,73,15,33,3,60.59,59.33,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
