,id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,meanSeedTime,meanDivsTime,varSeedTime,varDivsTime,medianAge,gender,distance,stroke,points,seedSpeed,divsSpeed,numRelays,numEvents,lifetimeNumRelays,lifetimeNumEvents
0,1,1.0,1.0,1,15,26,1,150.25,138.24,135.59,True,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,20,1.3311148086522462,1.446759259259259,2,2,2,4
1,2,2.0,3.0,2,15,33,1,143.62,139.32999999999998,138.31,True,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,16,1.3925637097897228,1.4354410392593127,1,2,1,2
2,3,3.0,2.0,3,17,3,1,131.8,139.84,136.89,True,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,18,1.5174506828528072,1.4302059496567505,2,2,4,4
3,4,4.0,4.0,4,17,3,1,166.84,151.26,149.14,True,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,14,1.1987532965715655,1.322226629644321,2,2,4,4
4,5,5.0,5.0,5,17,45,1,169.94,165.49,160.0,True,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,12,1.1768859597505001,1.2085322375974379,1,2,1,4
5,6,6.0,6.0,6,16,5,1,169.38,171.98,168.2,True,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,11,1.180776951233912,1.162925921618793,2,2,5,6
6,7,7.0,,7,16,49,1,172.75,181.93,,True,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,0,1.1577424023154848,1.099323915791788,2,2,6,5
7,8,8.0,8.0,8,17,30,1,190.09,192.93,196.66,True,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,9,1.052133200063128,1.0366454154356501,0,2,1,4
8,9,9.0,7.0,9,17,39,1,187.36,193.52,189.68,False,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,10,1.067463706233988,1.0334849111202975,1,2,3,4
9,10,10.0,,10,16,33,1,239.0,195.39,,False,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,0,0.8368200836820083,1.0235938379650955,1,2,2,4
10,11,11.0,,11,15,39,1,229.22,204.95,,False,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,0,0.8725242125468982,0.9758477677482313,2,2,2,2
11,12,12.0,,12,16,39,1,239.89,231.67000000000002,,False,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,0,0.8337154529159199,0.8632969309794103,0,2,4,6
12,13,13.0,,13,16,34,1,233.6,249.89,,False,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,0,0.8561643835616438,0.8003521549481772,0,2,0,2
13,14,14.0,,14,17,39,1,257.72,252.44,,False,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,0,0.7760360080707744,0.7922674694977024,2,2,4,4
14,15,15.0,,15,16,39,1,233.32,287.08,,False,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,0,0.8571918395336877,0.6966699177929497,1,2,4,6
15,16,,,16,16,10,1,263.44,,,False,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,0,0.7591861524445794,,2,2,2,2
16,17,,,17,15,39,1,256.01,,,False,2017,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,0,0.7812194836139214,,2,2,2,2
17,1906,1.0,1.0,963,17,16,1,141.23,135.66,129.46,True,2016,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,20,1.4161297174821215,1.4742739200943535,2,2,2,2
18,1907,2.0,2.0,304,16,3,1,137.63,137.99,135.76,True,2016,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,18,1.4531715469011117,1.4493803898833248,2,2,4,4
19,1908,3.0,3.0,964,16,43,1,154.63,147.37,146.87,True,2016,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,16,1.2934100756644895,1.3571283164823233,0,2,0,2
20,1909,4.0,4.0,668,15,55,1,156.85,152.18,155.74,True,2016,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,14,1.2751036021676763,1.3142331449599158,1,2,1,4
21,1910,5.0,5.0,5,15,45,1,162.19,162.53,163.35,True,2016,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,12,1.233121647450521,1.2305420537746878,0,2,1,4
22,1911,6.0,6.0,375,15,3,1,158.6,174.6,169.28,True,2016,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,11,1.2610340479192939,1.145475372279496,2,2,4,4
23,1912,7.0,7.0,7,15,49,1,176.94,178.43,176.07,True,2016,193.81959183673465,189.87391304347824,1710.0222248299324,1565.439953236715,16.0,Girls,200,Freestyle,10,1.1303266644060133,1.1208877430925293,2,2,6,5
