qualified,points,normed_divsTimePctOfMean,normed_divsSpeed,clipped_divsRank
TRUE,20,-1.305018992,1.586391618,1
TRUE,16,-1.277469837,1.535020857,2
TRUE,18,-1.264579865,1.511260006,3
TRUE,14,-0.975945593,1.021167054,4
TRUE,12,-0.616290104,0.505134723,5
TRUE,11,-0.452258893,0.298138291,6
TRUE,0,-0.20077807,0.009463619,7
TRUE,9,0.077240931,-0.275019477,8
FALSE,10,0.092152859,-0.289364269,9
FALSE,0,0.13941609,-0.334257543,10
FALSE,0,0.381039876,-0.550965821,11
FALSE,0,1.056373303,-1.061807821,12
FALSE,0,1.516873867,-1.34749948,13
FALSE,0,1.581323726,-1.384193982,14
FALSE,0,2.456830834,-1.818088975,15
FALSE,0,,,
FALSE,0,,,
TRUE,20,-1.370227085,1.711274247,1
TRUE,18,-1.311337606,1.598288319,2
TRUE,16,-1.074263222,1.179577671,3
TRUE,14,-0.952693095,0.984886491,4
TRUE,12,-0.69110249,0.605032146,5
TRUE,11,-0.386039822,0.218934317,6
TRUE,10,-0.289238661,0.107336802,7
TRUE,9,-0.106251609,-0.09104271,8
FALSE,0,0.190723232,-0.382029213,9
FALSE,0,0.346666617,-0.52137872,10
FALSE,0,0.366886181,-0.538830582,11
FALSE,0,0.457621473,-0.61549275,12
FALSE,0,1.398589419,-1.278168608,13
FALSE,0,1.570708455,-1.378201262,14
FALSE,0,1.817639877,-1.512624505,15
TRUE,20,-1.527434193,2.032816412,1
TRUE,18,-0.967857768,1.008497777,2
TRUE,16,-0.800288134,0.757537168,3
TRUE,14,-0.654707275,0.55598289,4
TRUE,11,-0.639542602,0.535799038,5
TRUE,12,-0.605927577,0.49157866,6
TRUE,0,-0.527829513,0.391528232,7
TRUE,10,-0.338271103,0.163258663,8
FALSE,9,-0.292271596,0.11076058,9
FALSE,0,-0.081229899,-0.11697316,10
FALSE,0,0.001417567,-0.200701173,11
FALSE,0,0.750552402,-0.845879089,12
FALSE,0,0.756618271,-0.850393059,13
FALSE,0,0.785683894,-0.871886433,14
FALSE,0,1.461270066,-1.315234367,15
FALSE,0,1.503225661,-1.339632585,16
FALSE,0,,,
TRUE,20,-1.664062952,2.168433983,1
TRUE,14,-1.158101322,1.215537469,2
TRUE,18,-1.101098926,1.124727801,3
TRUE,16,-1.020301953,1.000761926,4
TRUE,12,-1.012980544,0.989793369,5
TRUE,11,-0.686393425,0.540682263,6
TRUE,10,-0.240833416,0.03279335,7
TRUE,9,0.156353001,-0.342250794,8
FALSE,0,0.213093917,-0.390932185,9
FALSE,0,0.283954693,-0.45018799,10
FALSE,0,0.68349442,-0.755390569,11
FALSE,0,0.708857871,-0.773258352,12
FALSE,0,1.041459005,-0.993093343,13
FALSE,0,1.075451259,-1.014147851,14
FALSE,0,1.423218167,-1.216239365,15
FALSE,0,1.502707747,-1.259277319,16
FALSE,0,1.758695569,-1.39073705,17
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,20,-1.259293648,1.38404294,1
TRUE,18,-1.242559,1.355506145,2
TRUE,14,-1.12358611,1.160211207,3
TRUE,16,-1.007489488,0.981595084,4
TRUE,11,-0.959377374,0.910777215,5
TRUE,10,-0.940027937,0.882799896,6
TRUE,12,-0.86472202,0.776565202,7
TRUE,9,-0.671489129,0.521900843,8
FALSE,0,-0.332612502,0.129040143,9
FALSE,0,-0.012300876,-0.190674422,10
FALSE,0,0.291276102,-0.456215487,11
FALSE,0,0.467251387,-0.596004675,12
FALSE,0,0.579948784,-0.680682889,13
FALSE,0,0.625707588,-0.714052282,14
FALSE,0,1.20566774,-1.092580481,15
FALSE,0,1.595009791,-1.307900079,16
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,20,-1.697793727,2.243178638,1
TRUE,18,-1.267138014,1.397513857,2
TRUE,0,-0.555653986,0.380478549,3
TRUE,14,-0.547809619,0.371183029,4
TRUE,16,-0.423607152,0.228491939,5
TRUE,12,-0.357975953,0.156347037,6
TRUE,11,0.380178921,-0.528034775,7
TRUE,9,0.602958925,-0.697534185,8
FALSE,10,0.608188503,-0.701343855,9
FALSE,0,0.821816747,-0.850860354,10
FALSE,0,1.038582737,-0.991300469,11
FALSE,0,1.500354437,-1.258018883,12
FALSE,0,1.582981762,-1.301644232,13
TRUE,20,-2.144373374,3.141249409,1
TRUE,18,-2.037300112,2.878313738,2
TRUE,16,-1.822124039,2.396176846,3
TRUE,14,-1.691371114,2.129794464,4
TRUE,10,-1.325880654,1.473647435,5
TRUE,12,-1.245575708,1.344576541,6
TRUE,8,-1.216748292,1.299423153,7
TRUE,11,-1.084965816,1.100511933,8
TRUE,5,-0.997454016,0.974851852,9
TRUE,7,-0.991276713,0.966165933,10
TRUE,6,-0.909942216,0.853980432,11
TRUE,1,-0.880085249,0.813788983,12
TRUE,9,-0.830666821,0.748393968,13
TRUE,2,-0.508417486,0.353697893,14
TRUE,0,-0.503269733,0.347805736,15
TRUE,0,-0.477530968,0.318526027,16
TRUE,3,-0.455910406,0.294161868,17
TRUE,4,-0.427082989,0.261999202,18
TRUE,0,-0.418846585,0.252876863,19
TRUE,0,-0.363250853,0.192065837,20
TRUE,0,-0.337512088,0.164355898,21
TRUE,0,-0.302507368,0.12711058,22
TRUE,0,-0.248970737,0.071107148,23
TRUE,0,-0.134690622,-0.044701401,24
FALSE,0,-0.092479047,-0.086240239,24
FALSE,0,0.036214776,-0.208975473,24
FALSE,0,0.104165115,-0.271506888,24
FALSE,0,0.183440511,-0.342571319,24
FALSE,0,0.226681635,-0.380504854,24
FALSE,0,0.282277367,-0.428443282,24
FALSE,0,0.399646135,-0.526680966,24
FALSE,0,0.406852989,-0.532585946,24
FALSE,0,0.549960521,-0.646930026,24
FALSE,0,0.56643333,-0.659745862,24
FALSE,0,0.581876589,-0.671697687,24
FALSE,0,0.605556253,-0.689906441,24
FALSE,0,0.631295017,-0.709539113,24
FALSE,0,0.945307947,-0.936437372,24
FALSE,0,1.094592783,-1.03673192,24
FALSE,0,1.134745256,-1.062937795,24
FALSE,0,1.167690875,-1.08420442,24
FALSE,0,1.212991101,-1.113105332,24
FALSE,0,1.288148294,-1.160204049,24
FALSE,0,1.708204935,-1.405362921,24
FALSE,0,1.724677744,-1.414396315,24
FALSE,0,1.82248505,-1.467195331,24
FALSE,0,3.425495319,-2.167696195,24
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,20,-2.057891124,2.927608887,1
TRUE,14,-1.483401895,1.741805492,2
TRUE,16,-1.424717511,1.639482215,3
TRUE,18,-1.42265841,1.635945376,4
TRUE,11,-1.337205711,1.492250137,5
TRUE,12,-1.299112339,1.430075866,6
TRUE,6,-1.072611209,1.082470725,7
TRUE,10,-0.96965615,0.935951637,8
TRUE,9,-0.907883115,0.851191839,9
TRUE,4,-0.867730642,0.797309497,10
TRUE,5,-0.837873675,0.757844445,11
TRUE,7,-0.834785023,0.753790667,12
TRUE,2,-0.763746032,0.662012192,13
TRUE,1,-0.762716482,0.660702293,14
TRUE,8,-0.761686931,0.659392962,15
TRUE,3,-0.757568729,0.654161322,16
FALSE,0,-0.756539178,0.652854831,17
FALSE,0,-0.711238952,0.595925037,18
FALSE,0,-0.682411536,0.560254103,19
FALSE,0,-0.406491977,0.239248641,20
FALSE,0,-0.349866695,0.177622121,21
FALSE,0,-0.297359615,0.121675577,22
FALSE,0,-0.226320624,0.047755503,23
FALSE,0,-0.204700062,0.025651554,24
FALSE,0,-0.20161141,0.022508565,24
FALSE,0,-0.191315904,0.012058336,24
FALSE,0,-0.163518038,-0.015955976,24
FALSE,0,-0.157340735,-0.022141811,24
FALSE,0,-0.146015678,-0.033445453,24
FALSE,0,-0.123365565,-0.055909955,24
FALSE,0,-0.06159253,-0.116226187,24
FALSE,0,-0.060562979,-0.117219857,24
FALSE,0,0.019741967,-0.193584602,24
FALSE,0,0.136081184,-0.300357535,24
FALSE,0,0.19991332,-0.357090021,24
FALSE,0,0.203001972,-0.359802945,24
FALSE,0,0.283306918,-0.429322343,24
FALSE,0,0.313163885,-0.454679721,24
FALSE,0,0.320370739,-0.460761509,24
FALSE,0,0.337873099,-0.475469081,24
FALSE,0,0.340961751,-0.47805539,24
FALSE,0,0.362582313,-0.496083281,24
FALSE,0,0.37493692,-0.506325385,24
FALSE,0,0.424355349,-0.546866828,24
FALSE,0,0.424355349,-0.546866828,24
FALSE,0,0.51392625,-0.618650729,24
FALSE,0,0.54893097,-0.64612672,24
FALSE,0,0.575699285,-0.666924245,24
FALSE,0,0.676595243,-0.743695382,24
FALSE,0,0.739397829,-0.790228324,24
FALSE,0,0.942219296,-0.934313254,24
FALSE,0,0.94942615,-0.939266367,24
FALSE,0,1.168720425,-1.084865618,24
FALSE,0,1.203725145,-1.107225545,24
FALSE,0,1.257261776,-1.14097517,24
FALSE,0,1.355069082,-1.201272423,24
FALSE,0,1.386985151,-1.220577901,24
FALSE,0,1.405517061,-1.231705675,24
