divsRank,swimmerage,qualified,points,divsSpeed,numRelays,numSwimmers,numQualified,gender,distance,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,normed_numSwimmers,normed_numQualified,normed_swimmerage,clipped_divsRank,normed_numRelays
1,15,True,20,1.446759259259259,2,15,8,Girls,200,Freestyle,0.8652212237063772,0.18021191032895856,-0.9573604712314537,1.072340703390769,0.7778486020041353,-0.6512779470022025,-1.0238112902275098,-1.0911794927742544,0.041666666666666664,1.0
2,15,True,16,1.4354410392593127,1,15,8,Girls,200,Freestyle,0.8720433528574184,0.16889369032901214,-0.9089015301544552,1.0049922802276208,0.7297860043608038,-0.6512779470022025,-1.0238112902275098,-1.0911794927742544,0.08333333333333333,0.5
3,17,True,18,1.4302059496567505,2,15,8,Girls,200,Freestyle,0.8752353582400159,0.16365860072645,-0.8862280806597114,0.9738411778588719,0.7075552997804083,-0.6512779470022025,-1.0238112902275098,1.1983952274050043,0.125,1.0
4,17,True,14,1.322226629644321,2,15,8,Girls,200,Freestyle,0.9467112434738615,0.05567928071402051,-0.37852064295390164,0.3313163871143448,0.24902325043143825,-0.6512779470022025,-1.0238112902275098,1.1983952274050043,0.16666666666666666,1.0
5,17,True,12,1.2085322375974379,1,15,8,Girls,200,Freestyle,1.0357744524824102,-0.058015111332862634,0.25411305569353204,-0.34521561410904567,-0.23377773941311353,-0.6512779470022025,-1.0238112902275098,1.1983952274050043,0.20833333333333334,0.5
6,16,True,11,1.162925921618793,2,15,8,Girls,200,Freestyle,1.0763942856844817,-0.10362142731150747,0.5426438149501603,-0.6165933985536455,-0.42744405928378437,-0.6512779470022025,-1.0238112902275098,0.05360786731537488,0.25,1.0
7,16,True,0,1.099323915791788,2,15,8,Girls,200,Freestyle,1.1386696848155469,-0.1672234331385125,0.9849983688181821,-0.9950535099918777,-0.697528720598606,-0.6512779470022025,-1.0238112902275098,0.05360786731537488,0.2916666666666667,1.0
8,17,True,9,1.0366454154356501,0,15,8,Girls,200,Freestyle,1.2075168597343124,-0.22990193349465038,1.4740335539989102,-1.36801835474986,-0.9636917341748331,-0.6512779470022025,-1.0238112902275098,1.1983952274050043,0.3333333333333333,0.0
1,17,True,20,1.4742739200943535,2,15,8,Girls,200,Freestyle,0.8490734317708849,0.20772657116405302,-1.0720614510283883,1.2360651248211012,0.8946890657003823,-0.6512779470022025,-1.0238112902275098,1.1983952274050043,0.041666666666666664,1.0
2,16,True,18,1.4493803898833248,2,15,8,Girls,200,Freestyle,0.8636565151854962,0.18283304095302433,-0.968474907258288,1.0879375918092928,0.7889791814199519,-0.6512779470022025,-1.0238112902275098,0.05360786731537488,0.08333333333333333,1.0
