divsRank,year,points,divsSpeed,isRelay,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,clipped_divsRank
1,2017,20,1.446759259259259,False,Freestyle,0.8652212237063772,0.18021191032895856,-0.9764423305436144,1.0828016647124936,0.7123008312047105,1
2,2017,16,1.4354410392593127,False,Freestyle,0.8720433528574184,0.16889369032901214,-0.9270175184871529,1.014796240236646,0.6640968808857514,2
3,2017,18,1.4302059496567505,False,Freestyle,0.8752353582400159,0.16365860072645,-0.90389214770844,0.9833412507954601,0.641800795536783,3
4,2017,14,1.322226629644321,False,Freestyle,0.9467112434738615,0.05567928071402051,-0.3860652177223838,0.3345484642889755,0.1819201979358536,4
5,2017,12,1.2085322375974379,False,Freestyle,1.0357744524824102,-0.058015111332862634,0.2591779708679491,-0.3485832818432193,-0.30230071540548215,5
6,2017,11,1.162925921618793,False,Freestyle,1.0763942856844817,-0.10362142731150747,0.5534596499931238,-0.6226084268679722,-0.4965366102436952,6
7,2017,0,1.099323915791788,False,Freestyle,1.1386696848155469,-0.1672234331385125,1.004631099499364,-1.0047605147228902,-0.7674155937840063,7
8,2017,9,1.0366454154356501,False,Freestyle,1.2075168597343124,-0.22990193349465038,1.5034136064911874,-1.3813637281476958,-1.0343613959727287,8
1,2016,20,1.4742739200943535,False,Freestyle,0.8490734317708849,0.20772657116405302,-1.0934295003653332,1.2481232602821537,0.8294849241048473,1
2,2016,18,1.4493803898833248,False,Freestyle,0.8636565151854962,0.18283304095302433,-0.98777829661161,1.098550704817482,0.7234641457879726,2
3,2016,16,1.3571283164823233,False,Freestyle,0.9223643788889526,0.09058096755202283,-0.562452849740401,0.5442549400733913,0.3305654070230512,3
4,2016,14,1.3142331449599158,False,Freestyle,0.9524693708307037,0.04768579602961531,-0.3443488625921584,0.28651968246579695,0.14787619290641843,4
5,2016,12,1.2305420537746878,False,Freestyle,1.0172483035951785,-0.03600529515561268,0.12496013262287482,-0.21633749657165294,-0.20856158632488428,5
6,2016,11,1.145475372279496,False,Freestyle,1.092792430983315,-0.1210719766508046,0.6722605743857223,-0.7274598977848868,-0.5708579623108937,6
7,2016,10,1.1208877430925293,False,Freestyle,1.1167637655232125,-0.14565960583777127,0.8459275745474213,-0.875194449659857,-0.6755759175896516,7
8,2016,9,1.077179942909463,False,Freestyle,1.1620777242879272,-0.18936740602083746,1.1742171518765843,-1.1378123793669153,-0.8617260921387851,8
1,2018,20,1.5451174289245984,False,Freestyle,0.8101434837713647,0.27857007999429784,-1.3754683361370739,1.6737858546991264,1.131205245859508,1
2,2018,18,1.3194352816994328,False,Freestyle,0.9487140703805891,0.052887932769132284,-0.37155518115534986,0.31777667492167155,0.17003193302679917,2
