school,tradPred,school
3,2257.0,Strathcona High School
33,694.0,Ross Sheppard
42,653.0,Archbishop Jordan
5,572.0,ME LaZerte High School
49,552.0,Archbishop MacDonald
48,498.0,Lillian Osborne
16,409.0,Salisbury Composite
46,360.0,Old Scona Academic
52,334.0,Harry Ainlay
17,309.0,Bev Facey High School
26,298.0,Paul Kane
39,283.0,Archbishop O'Leary
45,272.0,Mother Margaret Mary
34,182.0,Austin O'Brien
30,140.0,Louis St. Laurent
38,83.0,McNally High School
36,71.0,Queen Elizabeth
43,70.0,Holy Trinity
55,65.0,St Francis Xavier
27,50.0,Blessed Oscar Romero
57,40.0,Vimy Ridge
10,37.0,WP Wagner
35,34.0,Spruce Grove
53,32.0,Ardrossan High School
50,30.0,Edmonton Christian High School
58,30.0,Strathcona Christian Academy
59,12.0,Millwoods Christian
56,3.0,J Percy Page
