school,rfrPred,school
3,2160.1590666666652,Strathcona High School
33,650.440266666667,Ross Sheppard
42,628.3879999999999,Archbishop Jordan
5,559.0580000000001,ME LaZerte High School
49,552.317,Archbishop MacDonald
48,464.3736666666668,Lillian Osborne
16,413.16146666666685,Salisbury Composite
46,344.288,Old Scona Academic
52,341.54166666666674,Harry Ainlay
17,305.5786666666666,Bev Facey High School
26,289.5559999999999,Paul Kane
45,270.96666666666664,Mother Margaret Mary
39,268.12933333333336,Archbishop O'Leary
34,182.34799999999998,Austin O'Brien
30,136.31600000000003,Louis St. Laurent
38,83.854,McNally High School
55,68.97999999999999,St Francis Xavier
43,68.58800000000001,Holy Trinity
36,67.74733333333333,Queen Elizabeth
27,52.54933333333334,Blessed Oscar Romero
57,39.024,Vimy Ridge
35,34.44,Spruce Grove
10,31.196,WP Wagner
50,30.944,Edmonton Christian High School
58,29.852,Strathcona Christian Academy
53,27.56,Ardrossan High School
59,14.588,Millwoods Christian
56,4.556,J Percy Page
