,divsRank,finalRank,seedTime,divsTime,qualified,swimmerage,id,swimmer,school,event,finalTime,year,distance,gender,stroke,points,seedSpeed,divsSpeed
0,1,1.0,150.25,138.24,True,15,1,1,26,1,135.59,2017,200,Girls,Freestyle,20.0,1.3311148086522462,1.446759259259259
1,2,3.0,143.62,139.32999999999998,True,15,2,2,33,1,138.31,2017,200,Girls,Freestyle,16.0,1.3925637097897228,1.4354410392593127
2,3,2.0,131.8,139.84,True,17,3,3,3,1,136.89,2017,200,Girls,Freestyle,18.0,1.5174506828528072,1.4302059496567505
3,4,4.0,166.84,151.26,True,17,4,4,3,1,149.14,2017,200,Girls,Freestyle,14.0,1.1987532965715655,1.322226629644321
4,5,5.0,169.94,165.49,True,17,5,5,45,1,160.0,2017,200,Girls,Freestyle,12.0,1.1768859597505001,1.2085322375974379
5,6,6.0,169.38,171.98,True,16,6,6,5,1,168.2,2017,200,Girls,Freestyle,11.0,1.180776951233912,1.162925921618793
6,7,,172.75,181.93,True,16,7,7,49,1,,2017,200,Girls,Freestyle,0.0,1.1577424023154848,1.099323915791788
7,8,8.0,190.09,192.93,True,17,8,8,30,1,196.66,2017,200,Girls,Freestyle,9.0,1.052133200063128,1.0366454154356501
8,9,7.0,187.36,193.52,False,17,9,9,39,1,189.68,2017,200,Girls,Freestyle,10.0,1.067463706233988,1.0334849111202975
9,10,,239.0,195.39,False,16,10,10,33,1,,2017,200,Girls,Freestyle,0.0,0.8368200836820083,1.0235938379650955
10,11,,229.22,204.95,False,15,11,11,39,1,,2017,200,Girls,Freestyle,0.0,0.8725242125468982,0.9758477677482313
11,12,,239.89,231.67000000000002,False,16,12,12,39,1,,2017,200,Girls,Freestyle,0.0,0.8337154529159199,0.8632969309794103
12,13,,233.6,249.89,False,16,13,13,34,1,,2017,200,Girls,Freestyle,0.0,0.8561643835616438,0.8003521549481772
13,14,,257.72,252.44,False,17,14,14,39,1,,2017,200,Girls,Freestyle,0.0,0.7760360080707744,0.7922674694977024
14,15,,233.32,287.08,False,16,15,15,39,1,,2017,200,Girls,Freestyle,0.0,0.8571918395336877,0.6966699177929497
15,1,1.0,117.1,118.17,True,16,18,18,3,2,118.21000000000001,2017,200,Boys,Freestyle,20.0,1.707941929974381,1.6924769400016924
16,2,4.0,137.07,137.52,True,15,19,19,3,2,134.57,2017,200,Boys,Freestyle,14.0,1.4591084847158386,1.4543339150668992
17,3,2.0,119.32,139.7,True,15,20,20,52,2,122.81,2017,200,Boys,Freestyle,18.0,1.6761649346295677,1.4316392269148175
18,4,3.0,134.6,142.79,True,15,21,21,46,2,128.54,2017,200,Boys,Freestyle,16.0,1.485884101040119,1.4006583094054206
19,5,5.0,139.59,143.07,True,17,22,22,26,2,134.59,2017,200,Boys,Freestyle,12.0,1.4327673902141986,1.3979171035157616
20,6,6.0,153.53,155.56,True,17,23,23,36,2,153.72,2017,200,Boys,Freestyle,11.0,1.302677001237543,1.2856775520699408
21,7,7.0,172.09,172.6,True,17,24,24,52,2,163.74,2017,200,Boys,Freestyle,10.0,1.1621825788831426,1.1587485515643106
22,8,8.0,178.88,187.79,True,15,25,25,33,2,175.36,2017,200,Boys,Freestyle,9.0,1.118067978533095,1.065019436604718
23,9,,189.47,189.96,False,15,26,26,33,2,,2017,200,Boys,Freestyle,0.0,1.0555760806460126,1.052853232259423
24,10,,193.47,192.67,False,15,27,27,39,2,,2017,200,Boys,Freestyle,0.0,1.0337520028945055,1.0380443244926558
25,11,,221.78,207.95,False,16,28,28,39,2,,2017,200,Boys,Freestyle,0.0,0.9017945711966814,0.961769656167348
26,12,,220.53,208.92000000000002,False,15,29,29,39,2,,2017,200,Boys,Freestyle,0.0,0.9069060898743935,0.9573042312847022
27,13,,213.77,221.64,False,17,30,30,34,2,,2017,200,Boys,Freestyle,0.0,0.9355849745053094,0.9023641941887747
28,14,,240.71,222.94,False,16,31,31,39,2,,2017,200,Boys,Freestyle,0.0,0.8308753271571601,0.8971023593792051
29,15,,245.37,236.24,False,16,32,32,39,2,,2017,200,Boys,Freestyle,0.0,0.8150955699555773,0.8465966813410091
30,16,,270.06,239.28,False,15,33,33,3,2,,2017,200,Boys,Freestyle,0.0,0.7405761682589054,0.8358408559010364
31,17,,263.61,249.07,False,16,34,34,39,2,,2017,200,Boys,Freestyle,0.0,0.7586965593111035,0.8029871120568515
32,1,1.0,30.45,32.62,True,15,38,38,3,3,32.08,2017,50,Girls,Backstroke,20.0,1.6420361247947455,1.5328019619865114
33,2,2.0,33.81,33.66,True,15,39,39,48,3,33.26,2017,50,Girls,Backstroke,18.0,1.4788524105294292,1.4854426619132504
