id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,points,divsSpeed,divsTimePctOfMean,normed_divsTimePctOfMean,normed_divsSpeed,clipped_divsRank,designation
1,1.0,1.0,1.0,15.0,26,1,150.25,138.24,135.59,True,2017,20,1.446759259259259,0.7280621007075635,-1.305018992434418,1.5863916178892519,1.0,
2,2.0,3.0,2.0,15.0,33,1,143.62,139.32999999999998,138.31,True,2017,16,1.4354410392593127,0.7338027523986169,-1.2774698368909345,1.535020856828599,2.0,
3,3.0,2.0,3.0,17.0,3,1,131.8,139.84,136.89,True,2017,18,1.4302059496567505,0.7364887453916787,-1.2645798650311388,1.5112600059964365,3.0,
4,4.0,4.0,4.0,17.0,3,1,166.84,151.26,149.14,True,2017,14,1.322226629644321,0.7966339218245518,-0.9759455931902317,1.0211670542887883,4.0,
5,5.0,5.0,5.0,17.0,45,1,169.94,165.49,160.0,True,2017,12,1.2085322375974379,0.8715783929839025,-0.6162901038473146,0.5051347234271986,5.0,
6,6.0,6.0,6.0,16.0,5,1,169.38,171.98,168.2,True,2017,11,1.162925921618793,0.9057589704838451,-0.4522588933177629,0.2981382910370625,6.0,
7,7.0,,7.0,16.0,49,1,172.75,181.93,,True,2017,0,1.099323915791788,0.9581621671131874,-0.20077806977861823,0.009463619195307518,7.0,
8,8.0,8.0,8.0,17.0,30,1,190.09,192.93,196.66,True,2017,9,1.0366454154356501,1.0160953493164802,0.07724093111892807,-0.27501947668464893,8.0,
9,9.0,7.0,9.0,17.0,39,1,187.36,193.52,189.68,False,2017,10,1.0334849111202975,1.0192026745437477,0.09215285934888742,-0.2893642687116559,9.0,
10,10.0,,10.0,16.0,33,1,239.0,195.39,,False,2017,0,1.0235938379650955,1.0290513155183074,0.13941608950147008,-0.3342575430685533,10.0,
11,11.0,,11.0,15.0,39,1,229.22,204.95,,False,2017,0,0.9758477677482313,1.0794005175058965,0.3810398757360651,-0.5509658209344448,11.0,
12,12.0,,12.0,16.0,39,1,239.89,231.67000000000002,,False,2017,0,0.8632969309794103,1.2201254837306224,1.0563733033708325,-1.0618078210771358,12.0,
13,13.0,,13.0,16.0,34,1,233.6,249.89,,False,2017,0,0.8003521549481772,1.3160839000709854,1.516873866675677,-1.3474994801482694,13.0,
14,14.0,,14.0,17.0,39,1,257.72,252.44,,False,2017,0,0.7922674694977024,1.3295138650362943,1.5813237259746542,-1.3841939819806108,14.0,
15,15.0,,15.0,16.0,39,1,233.32,287.08,,False,2017,0,0.6966699177929497,1.5119507224473907,2.4568308342556535,-1.8180889748886384,15.0,
16,,,16.0,16.0,10,1,263.44,,,False,2017,0,,,,,,
17,,,17.0,15.0,39,1,256.01,,,False,2017,0,,,,,,
